research_no,id,hotel_name,prefecture,area,station,venueId,venueNumber,venue_name,rank,genre,jalan_url,jalan_hotel_name,verification_status,name_similarity,prefecture_match,station_match,verification_note,search_url,candidate_url,checked_at,error
1,stage-001-1,東横INN品川港南口天王洲アイル,東京都,天王洲アイル,天王洲アイル,stage-001,1,天王洲 銀河劇場,1,stage,https://www.jalan.net/yad390736/,東横ＩＮＮ品川港南口天王洲アイル,verified,1.0,True,True,hotel name matches Jalan page; location context consistent,https://search.yahoo.co.jp/search?p=%22%E6%9D%B1%E6%A8%AAINN%E5%93%81%E5%B7%9D%E6%B8%AF%E5%8D%97%E5%8F%A3%E5%A4%A9%E7%8E%8B%E6%B4%B2%E3%82%A2%E3%82%A4%E3%83%AB%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93,https://www.jalan.net/yad390736/,2026-08-08T16:27:30+09:00,
2,stage-001-2,ANAホリデイ・イン東京ベイ,東京都,天王洲アイル,天王洲アイル,stage-001,1,天王洲 銀河劇場,2,stage,https://www.jalan.net/yad349696/,ANAホリデイ・イン東京ベイ by IHG,verified,1.0,True,True,hotel name matches Jalan page; location context consistent,https://search.yahoo.co.jp/search?p=%22ANA%E3%83%9B%E3%83%AA%E3%83%87%E3%82%A4%E3%83%BB%E3%82%A4%E3%83%B3%E6%9D%B1%E4%BA%AC%E3%83%99%E3%82%A4%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93,https://www.jalan.net/yad349696/,2026-08-08T16:27:33+09:00,
3,stage-001-3,スーパーホテル品川・新馬場,東京都,天王洲アイル,新馬場,stage-001,1,天王洲 銀河劇場,3,stage,https://www.jalan.net/yad304182/,スーパーホテル品川・新馬場 高濃度炭酸泉 七福神の湯,verified,0.97,True,True,hotel name matches Jalan page; location context consistent,https://search.yahoo.co.jp/search?p=%22%E3%82%B9%E3%83%BC%E3%83%91%E3%83%BC%E3%83%9B%E3%83%86%E3%83%AB%E5%93%81%E5%B7%9D%E3%83%BB%E6%96%B0%E9%A6%AC%E5%A0%B4%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93,https://www.jalan.net/yad304182/,2026-08-08T16:27:41+09:00,
4,stage-002-1,アワーズイン阪急,東京都,大井競馬場前・立会川,大井町,stage-002,2,シアターH,1,stage,https://www.jalan.net/yad302472/,アワーズイン阪急,verified,1.0,True,True,hotel name matches Jalan page; location context consistent,https://search.yahoo.co.jp/search?p=%22%E3%82%A2%E3%83%AF%E3%83%BC%E3%82%BA%E3%82%A4%E3%83%B3%E9%98%AA%E6%80%A5%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93,https://www.jalan.net/yad302472/,2026-08-08T16:27:44+09:00,
5,stage-002-2,ヴィアイン品川大井町,東京都,大井競馬場前・立会川,大井町,stage-002,2,シアターH,2,stage,https://www.jalan.net/yad317259/,ＪＲ西日本グループ ヴィアイン品川大井町,verified,0.97,True,True,hotel name matches Jalan page; location context consistent,https://search.yahoo.co.jp/search?p=%22%E3%83%B4%E3%82%A3%E3%82%A2%E3%82%A4%E3%83%B3%E5%93%81%E5%B7%9D%E5%A4%A7%E4%BA%95%E7%94%BA%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93,https://www.jalan.net/yad317259/,2026-08-08T16:27:48+09:00,
6,stage-002-3,ホテルマイステイズプレミア大森,東京都,大井競馬場前・立会川,大森,stage-002,2,シアターH,3,stage,https://www.jalan.net/yad314382/,ホテルマイステイズプレミア大森,verified,1.0,True,True,hotel name matches Jalan page; location context consistent,https://search.yahoo.co.jp/search?p=%22%E3%83%9B%E3%83%86%E3%83%AB%E3%83%9E%E3%82%A4%E3%82%B9%E3%83%86%E3%82%A4%E3%82%BA%E3%83%97%E3%83%AC%E3%83%9F%E3%82%A2%E5%A4%A7%E6%A3%AE%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93,https://www.jalan.net/yad314382/,2026-08-08T16:27:53+09:00,
7,stage-003-1,日本青年館ホテル,東京都,外苑前・国立競技場,外苑前・国立競技場,stage-003,3,日本青年館ホール,1,stage,https://www.jalan.net/yad335762/,日本青年館ホテル,verified,1.0,True,True,hotel name matches Jalan page; location context consistent,https://search.yahoo.co.jp/search?p=%22%E6%97%A5%E6%9C%AC%E9%9D%92%E5%B9%B4%E9%A4%A8%E3%83%9B%E3%83%86%E3%83%AB%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93,https://www.jalan.net/yad335762/,2026-08-08T16:27:56+09:00,
8,stage-003-2,東急ステイ青山プレミア,東京都,外苑前・国立競技場,外苑前,stage-003,3,日本青年館ホール,2,stage,https://www.jalan.net/yad381958/,東急ステイ青山プレミア,verified,1.0,True,True,hotel name matches Jalan page; location context consistent,https://search.yahoo.co.jp/search?p=%22%E6%9D%B1%E6%80%A5%E3%82%B9%E3%83%86%E3%82%A4%E9%9D%92%E5%B1%B1%E3%83%97%E3%83%AC%E3%83%9F%E3%82%A2%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93,https://www.jalan.net/yad381958/,2026-08-08T16:28:00+09:00,
9,stage-003-3,ホテルウィングインターナショナルプレミアム東京四谷,東京都,外苑前・国立競技場,四谷三丁目,stage-003,3,日本青年館ホール,3,stage,,KOKO HOTEL 新宿四谷,needs_review,0.1053,True,True,candidate exists but name/location match is not strong enough,https://search.yahoo.co.jp/search?p=%22%E3%83%9B%E3%83%86%E3%83%AB%E3%82%A6%E3%82%A3%E3%83%B3%E3%82%B0%E3%82%A4%E3%83%B3%E3%82%BF%E3%83%BC%E3%83%8A%E3%82%B7%E3%83%A7%E3%83%8A%E3%83%AB%E3%83%97%E3%83%AC%E3%83%9F%E3%82%A2%E3%83%A0%E6%9D%B1%E4%BA%AC%E5%9B%9B%E8%B0%B7%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93,https://www.jalan.net/yad370441/,2026-08-08T16:28:06+09:00,
10,stage-004-1,ホテルグランドシティ,東京都,池袋東口,池袋東口,stage-004,4,東京建物 Brillia HALL(豊島区立芸術文化劇場),1,stage,https://www.jalan.net/yad317472/,ホテルグランドシティ,verified,1.0,True,False,hotel name matches Jalan page; location context consistent,https://search.yahoo.co.jp/search?p=%22%E3%83%9B%E3%83%86%E3%83%AB%E3%82%B0%E3%83%A9%E3%83%B3%E3%83%89%E3%82%B7%E3%83%86%E3%82%A3%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93,https://www.jalan.net/yad317472/,2026-08-08T16:28:09+09:00,
